first_name,last_name,full_name,pos,war_pos,war_p,war_tot,war_162,wae,wam,wwpa,wwar,c_pct,rp_pct,wwar_norm,is_pitcher,is_hitter,b_pa,b_ab,b_h,b_2b,b_3b,b_hr,b_bb,b_hbp,b_sf,ba,obp,slg,ops_plus,p_w,p_l,p_sv,p_ip,p_h,p_er,p_bb,p_so,p_hr,era,era_plus,hof_status,induction_year
Mickey,McDermott,Mickey McDermott,P,2.9,12.5,15.4,16.2,3.3,0.0,0.0,19.5,,0.366,20.7,yes,,,,,,,,,,,,,,,48,34,8,773.7,647,327,504,499,47,3.80,115
Fritz,Ostermueller,Fritz Ostermueller,P,1.3,15.6,16.9,17.8,1.5,0.0,0.0,19.3,,0.425,20.7,yes,,,,,,,,,,,,,,,59,65,13,1083.3,1184,527,491,422,45,4.38,110
Bill,Monbouquette,Bill Monbouquette,P,-2.5,19.6,17.1,17.3,2.8,0.0,0.0,20.1,,0.102,20.5,yes,,,,,,,,,,,,,,,96,91,1,1622.0,1649,665,408,969,180,3.69,107,hof,2000
Jacoby,Ellsbury,Jacoby Ellsbury,CF,13.6,0.0,13.6,13.6,4.7,1.2,0.8,20.3,,,20.3,,yes,2245,2032,611,106,23,52,154,24,16,0.301,0.354,0.452,109,,,,,,,,,,,,active
Tom,Brewer,Tom Brewer,P,1.0,13.7,14.7,15.4,3.2,0.2,0.0,18.8,,0.100,19.2,yes,,,,,,,,,,,,,,,91,82,3,1509.3,1478,671,669,733,126,4.00,104
Jim,Piersall,Jim Piersall,CF,15.8,0.0,15.8,16.6,2.4,0.0,0.0,19.0,,,19.0,,yes,3815,3369,919,158,32,66,338,20,31,0.273,0.340,0.397,93,,,,,,,,,,,,hof,1997
Ellis,Burks,Ellis Burks,CF,16.7,0.0,16.7,16.7,2.3,0.0,-0.2,18.8,,,18.8,,yes,3132,2827,791,160,27,94,254,19,18,0.280,0.341,0.455,114
Wally,Schang,Wally Schang,C,9.7,0.0,9.7,11.1,3.7,0.3,0.7,15.8,0.721,,17.8,,yes,1165,942,274,53,11,4,181,14,0,0.291,0.412,0.383,126
Jesse,Tannehill,Jesse Tannehill,P,2.0,10.0,12.0,12.6,4.4,0.0,0.0,17.0,,0.086,17.3,yes,,,,,,,,,,,,,,,62,38,1,885.7,836,246,154,342,24,2.50,108
Mike,Lowell,Mike Lowell,3B,12.3,0.0,12.3,12.3,3.3,0.0,0.6,16.2,,,16.2,,yes,2480,2244,650,153,4,80,194,13,29,0.290,0.346,0.468,107,,,,,,,,,,,,ineligible
Frank,Malzone,Frank Malzone,3B,15.2,0.0,15.2,15.6,0.4,0.0,0.0,16.0,,,16.0,,yes,5702,5273,1454,234,21,131,327,17,54,0.276,0.317,0.403,93,,,,,,,,,,,,hof,1995
J.D.,Drew,J.D. Drew,RF,12.6,0.0,12.6,12.6,2.2,0.0,1.2,16.0,,,16.0,,yes,2379,2012,532,113,15,80,333,14,19,0.264,0.370,0.455,114,,,,,,,,,,,,active
Rube,Foster,Rube Foster,P,0.6,9.2,9.8,10.3,2.1,0.0,2.8,15.3,,0.254,15.9,yes,,,,,,,,,,,,,,,58,33,3,842.3,726,221,305,294,6,2.36,116
Heinie,Wagner,Heinie Wagner,SS,14.3,0.0,14.3,15.0,0.5,0.0,0.0,15.6,,,15.6,,yes,3714,3277,822,127,47,10,310,28,0,0.251,0.321,0.327,96
Tim,Naehring,Tim Naehring,3B,12.2,0.0,12.2,13.5,1.9,0.0,0.1,15.6,,,15.6,,yes,2162,1872,527,104,4,49,236,16,12,0.282,0.365,0.420,103
Bullet Joe,Bush,Bullet Joe Bush,P,2.2,7.2,9.4,10.7,3.4,0.0,0.8,14.9,,0.126,15.2,yes,,,,,,,,,,,,,,,46,39,4,779.7,783,283,282,312,16,3.27,107
Frank,Viola,Frank Viola,P,0.0,10.6,10.6,10.8,4.1,0.1,0.0,15.0,,0.000,15.0,yes,,,,,,,,,,,,,,,25,21,0,452.7,428,171,178,221,27,3.40,131
Johnny,Damon,Johnny Damon,CF,12.1,0.0,12.1,12.1,3.1,0.0,-0.3,14.9,,,14.9,,yes,2782,2476,730,136,29,56,262,12,23,0.295,0.362,0.441,108,,,,,,,,,,,,active
Rick,Burleson,Rick Burleson,SS,14.7,0.0,14.7,14.7,0.4,0.0,-0.2,14.9,,,14.9,,yes,4491,4064,1114,203,21,38,310,21,40,0.274,0.326,0.362,85,,,,,,,,,,,,hof,2002
Dave,Ferriss,Dave Ferriss,P,2.2,8.9,11.1,11.7,2.2,0.0,0.2,14.1,,0.285,14.8,yes,,,,,,,,,,,,,,,65,30,8,880.0,914,356,314,296,42,3.64,103,hof,2002
Bob,Johnson,Bob Johnson,LF,9.5,0.0,9.5,10.0,3.9,0.9,0.0,14.8,,,14.8,,yes,1219,1054,318,67,15,29,158,5,0,0.302,0.395,0.476,149
Eddie,Bressoud,Eddie Bressoud,SS,11.6,0.0,11.6,11.6,3.1,0.0,0.0,14.7,,,14.7,,yes,2188,1958,528,115,19,57,199,6,12,0.270,0.337,0.435,109
Jake,Stahl,Jake Stahl,1B,11.6,0.0,11.6,12.2,1.9,0.0,0.4,14.5,0.058,,14.5,,yes,1890,1648,456,71,50,21,140,46,0,0.277,0.350,0.419,134
Sonny,Siebert,Sonny Siebert,P,1.5,8.0,9.5,9.5,3.9,0.3,0.0,13.7,,0.176,14.1,yes,,,,,,,,,,,,,,,57,41,5,820.0,787,315,248,528,88,3.46,108
Jack,Wilson,Jack Wilson,P,-0.4,11.4,11.0,11.6,1.1,0.0,0.0,12.7,,0.562,13.9,yes,,,,,,,,,,,,,,,67,67,20,1067.7,1141,527,564,563,67,4.44,107
Rick,Ferrell,Rick Ferrell,C,9.7,0.0,9.7,10.2,1.6,0.0,0.0,11.8,0.985,,13.8,,yes,2100,1791,541,111,17,16,269,2,0,0.302,0.394,0.410,102,,,,,,,,,,,,hof,1995
Sad Sam,Jones,Sad Sam Jones,P,0.6,7.6,8.2,8.8,3.7,0.7,0.0,13.3,,0.210,13.8,yes,,,,,,,,,,,,,,,64,59,4,1045.0,1069,394,338,307,16,3.39,102
Oil Can,Boyd,Oil Can Boyd,P,0.0,11.1,11.1,11.1,2.6,0.0,-0.4,13.3,,0.046,13.5,yes,,,,,,,,,,,,,,,60,56,0,1016.7,1067,469,259,571,126,4.15,103
Billy,Werber,Billy Werber,3B,9.5,0.0,9.5,10.0,3.1,0.1,0.0,13.2,,,13.2,,yes,2372,2045,575,130,25,38,268,9,0,0.281,0.367,0.425,98
Tom,Burgmeier,Tom Burgmeier,P,0.0,8.1,8.1,8.1,2.9,0.2,0.0,11.2,,0.995,13.1,yes,,,,,,,,,,,,,,,21,12,40,411.0,409,124,98,217,29,2.72,157
Jack,Quinn,Jack Quinn,P,-1.0,11.6,10.6,11.2,1.1,0.0,0.0,12.3,,0.310,12.9,yes,,,,,,,,,,,,,,,45,54,14,832.7,946,338,190,226,28,3.65,116
Everett,Scott,Everett Scott,SS,11.4,0.0,11.4,12.6,0.0,0.0,-0.2,12.4,,,12.4,,yes,4268,3887,956,141,41,7,171,11,0,0.246,0.280,0.309,69,,,,,,,,,,,,hof,2004
Bill,Carrigan,Bill Carrigan,C,9.7,0.0,9.7,10.2,0.4,0.0,0.1,10.7,0.915,,12.4,,yes,2277,1970,506,67,14,6,206,22,0,0.257,0.334,0.314,94,,,,,,,,,,,,hof,2004
George,Scott,George Scott,1B,11.0,0.0,11.0,11.0,1.4,0.0,-0.1,12.3,,,12.3,,yes,4565,4078,1053,149,37,150,401,34,37,0.258,0.327,0.423,103,,,,,,,,,,,,hof,1995
Mike,Boddicker,Mike Boddicker,P,0.0,10.4,10.4,10.4,2.4,0.0,-0.6,12.2,,0.012,12.2,yes,,,,,,,,,,,,,,,39,22,0,528.7,527,205,166,344,38,3.49,118
Hobe,Ferris,Hobe Ferris,2B,10.1,0.0,10.1,11.3,0.0,0.0,0.9,12.2,,,12.2,,yes,3927,3689,876,148,77,34,135,11,0,0.237,0.266,0.347,83
Daisuke,Matsuzaka,Daisuke Matsuzaka,P,-0.2,9.6,9.4,9.4,2.1,0.0,0.6,12.1,,0.009,12.1,yes,,,,,,,,,,,,,,,49,30,0,622.7,569,294,301,568,64,4.25,108,active
Ernie,Shore,Ernie Shore,P,-2.3,10.7,8.4,8.8,1.1,0.0,1.8,11.8,,0.176,12.1,yes,,,,,,,,,,,,,,,58,33,3,839.0,732,198,204,272,6,2.12,128
Dick,Drago,Dick Drago,P,0.0,8.6,8.6,8.6,0.8,0.0,1.1,10.5,,0.859,12.1,yes,,,,,,,,,,,,,,,30,29,41,547.3,517,216,184,305,50,3.55,117
Willard,Nixon,Willard Nixon,P,1.7,9.2,10.9,11.5,0.2,0.0,0.0,11.7,,0.213,12.1,yes,,,,,,,,,,,,,,,69,72,3,1234.0,1277,602,530,616,89,4.39,98
